,count,references
See Anatomy,149,Anatomy
See Botany,127,Botany
See Chemistry,59,Chemistry
See Medicine,50,Medicine
See Law,49,Law
See Oratory,46,Oratory
See Metaphysics,43,Metaphysics
See Astronomy,33,Astronomy
See Architecture,30,Architecture
See Grammar,29,Grammar
See Surgery,28,Surgery
See Heraldry,23,Heraldry
See Geometry,21,Geometry
See Poetry,20,Poetry
See Algebra,19,Algebra
See Falco,19,Falco
See Mechanics,19,Mechanics
See Anas,18,Anas
See Logic,18,Logic
See Rome,17,Rome
See Arithmetic,17,Arithmetic
See Farriery,16,Farriery
See Optics,16,Optics
See ,15,
See Agriculture,13,Agriculture
See Felis,13,Felis
See Cyprinus,13,Cyprinus
See Interval,13,Interval
See Britain,12,Britain
See Phil,12,Phil
"See Ana
tomy",11,"Ana
tomy"
See Cervus,11,Cervus
See Music,11,Music
See Navigation,11,Navigation
See Mustela,10,Mustela
See Capra,10,Capra
"See Bo
tany",10,"Bo
tany"
See Painting,10,Painting
See Canis,10,Canis
See CHEMISTRY,10,CHEMISTRY
See Fluxions,10,Fluxions
See Turdus,10,Turdus
See Motacilla,10,Motacilla
See January,10,January
See Fringilla,10,Fringilla
See Pharmacy,10,Pharmacy
See Midwifery,9,Midwifery
See Electricity,9,Electricity
See Ex,9,Ex
See Salt,9,Salt
See Larus,9,Larus
See Egypt,9,Egypt
See Corvus,9,Corvus
See Chronology,9,Chronology
See Mus,8,Mus
See Laurus,8,Laurus
"See Che
mistry",8,"Che
mistry"
See Polytheism,8,Polytheism
See Ornithology,8,Ornithology
See Bos,8,Bos
See Geography,8,Geography
See Esox,8,Esox
See Tetrao,8,Tetrao
See Sus,8,Sus
See War,8,War
See Allium,8,Allium
See Squalus,8,Squalus
See Fortification,8,Fortification
See Materia Medica,8,Materia Medica
See Rhamnus,8,Rhamnus
See Alcedo,7,Alcedo
See Chap,7,Chap
See Parliament,7,Parliament
See Prunus,7,Prunus
See Simia,7,Simia
See Cancer,7,Cancer
See France,7,France
See Lacerta,7,Lacerta
See Company,7,Company
See Equus,7,Equus
"See Me
chanics",7,"Me
chanics"
See Solanum,7,Solanum
See Glass,7,Glass
See Bee,7,Bee
See Gadus,7,Gadus
See Hydrodynamics,6,Hydrodynamics
See America,6,America
See Ursus,6,Ursus
See Gunnery,6,Gunnery
See Loxia,6,Loxia
See Polygonum,6,Polygonum
See Artemisia,6,Artemisia
See Language,6,Language
See Philology,6,Philology
See Pleuronectes,6,Pleuronectes
See MEDICINE,6,MEDICINE
See Binle,6,Binle
See Ardea,6,Ardea
See Brassica,6,Brassica
See Moral Philosophy,6,Moral Philosophy
See Bread,6,Bread
See Salmo,6,Salmo
See Gardening,5,Gardening
See Petroleum,5,Petroleum
See Sugar,5,Sugar
See Phasianus,5,Phasianus
See Ores,5,Ores
See MORAL Philofophy,5,MORAL Philofophy
See Veronica,5,Veronica
"See Meta
physics",5,"Meta
physics"
