,count,references
See Anatomy,321,Anatomy
See Law,151,Law
See Medicine,131,Medicine
See Chemistry,119,Chemistry
See Astronomy,112,Astronomy
See Botany,59,Botany
See Scots Law,54,Scots Law
See Surgery,52,Surgery
See Mechanics,48,Mechanics
See Optics,37,Optics
See Agriculture,32,Agriculture
See Architecture,29,Architecture
See Geometry,28,Geometry
See Grammar,27,Grammar
See Pneumatics,21,Pneumatics
See Natural History,19,Natural History
See Arithmetic,18,Arithmetic
See Navigation,18,Navigation
See Algebra,18,Algebra
See Cyprinus,17,Cyprinus
See Geography,16,Geography
See Falco,16,Falco
See Metaphysics,16,Metaphysics
See Sparus,16,Sparus
See Music,15,Music
See Midwifery,14,Midwifery
See Anas,13,Anas
See Hydrostatics,13,Hydrostatics
See Logic,13,Logic
See Farriery,12,Farriery
See Fortification,11,Fortification
See Mus,11,Mus
See Motacilla,11,Motacilla
See Coluber,11,Coluber
See Cervus,10,Cervus
See Anat,10,Anat
See Apis,10,Apis
See Commerce,10,Commerce
See Lacerta,10,Lacerta
See Bos,10,Bos
See Loxia,9,Loxia
See Book-keeping,9,Book-keeping
See Composition,9,Composition
See Fringilla,9,Fringilla
"See Medi
cine",9,"Medi
cine"
"See Ana
tomy",9,"Ana
tomy"
See Arithmetick,9,Arithmetick
See Conic Sections,9,Conic Sections
See Squalus,8,Squalus
"See Che
mistry",8,"Che
mistry"
See Mustela,8,Mustela
"See Me
dicine",8,"Me
dicine"
See Musick,8,Musick
See Gadus,8,Gadus
See Fluxions,7,Fluxions
"See Scots
Law",7,"Scots
Law"
See Perca,7,Perca
"See Anato
my",7,"Anato
my"
"See Mecha
nics",7,"Mecha
nics"
See Money,7,Money
See Clupea,7,Clupea
See Salmo,7,Salmo
See Sus,7,Sus
"See Architec
ture",7,"Architec
ture"
See Prunus,7,Prunus
See Tetrao,7,Tetrao
See Columba,6,Columba
See Larus,6,Larus
See Polygonum,6,Polygonum
See Religion,6,Religion
See Binle,6,Binle
See Brewing,6,Brewing
See Dialling,6,Dialling
See the preceding article,6,the preceding article
See Tanning,6,Tanning
See Citrus,6,Citrus
