,count,references
See Anatomy,149,Anatomy
See Botany,127,Botany
See Chemistry,71,Chemistry
See Medicine,53,Medicine
See Law,53,Law
See Oratory,50,Oratory
See Astronomy,38,Astronomy
See Metaphysics,36,Metaphysics
See Architecture,32,Architecture
See Surgery,31,Surgery
See Grammar,30,Grammar
See Poetry,26,Poetry
See Heraldry,24,Heraldry
See Mechanics,21,Mechanics
See Geometry,21,Geometry
See Farriery,19,Farriery
See Algebra,18,Algebra
See Arithmetic,17,Arithmetic
See Rome,17,Rome
See Logic,17,Logic
See Anas,17,Anas
See Falco,17,Falco
See Optics,16,Optics
"See Ana
tomy",13,"Ana
tomy"
See Motacilla,13,Motacilla
See Britain,13,Britain
See Painting,13,Painting
See Agriculture,13,Agriculture
See Interval,13,Interval
See Music,12,Music
See Pharmacy,12,Pharmacy
See Phil,12,Phil
See Cyprinus,12,Cyprinus
See Midwifery,12,Midwifery
See Mustela,11,Mustela
See Capra,11,Capra
See Canis,11,Canis
See Ex,11,Ex
See ,11,
See Felis,11,Felis
See Navigation,11,Navigation
See Fringilla,10,Fringilla
See January,10,January
See Fortification,10,Fortification
See Cervus,10,Cervus
See Fluxions,10,Fluxions
See Larus,9,Larus
See Lacerta,9,Lacerta
See Polytheism,9,Polytheism
See Equus,9,Equus
See Glass,9,Glass
"See Bo
tany",9,"Bo
tany"
See Salt,9,Salt
See Sus,8,Sus
See Ornithology,8,Ornithology
See Salmo,8,Salmo
See Allium,8,Allium
See Mus,8,Mus
See Corvus,8,Corvus
See Theology,8,Theology
See Bee,8,Bee
See Philology,8,Philology
See Geography,8,Geography
See Bos,8,Bos
See Gunnery,8,Gunnery
See Chronology,8,Chronology
See Electricity,8,Electricity
See Parliament,7,Parliament
See Loxia,7,Loxia
See Tetrao,7,Tetrao
See Moral Philosophy,7,Moral Philosophy
See France,7,France
See England,7,England
See Alcedo,7,Alcedo
See Simia,7,Simia
See Solanum,7,Solanum
"See Meta
physics",7,"Meta
physics"
See Squalus,7,Squalus
See Turdus,7,Turdus
See Tenure,7,Tenure
See Egypt,7,Egypt
See Esox,7,Esox
See Gadus,7,Gadus
See Cancer,7,Cancer
See Chap,7,Chap
See Materia Medica,7,Materia Medica
See Company,6,Company
See Binle,6,Binle
See Rhamnus,6,Rhamnus
See Ardea,6,Ardea
"See Me
chanics",6,"Me
chanics"
"See Me
taphysics",6,"Me
taphysics"
See America,6,America
See Brassica,6,Brassica
See Dyeing,6,Dyeing
See Animalcule,6,Animalcule
"See Che
mistry",6,"Che
mistry"
See Pneumatics,6,Pneumatics
See Artemisia,6,Artemisia
See Bread,6,Bread
See Tringa,6,Tringa
"See He
raldry",6,"He
raldry"
See Printing,6,Printing
See Ursus,6,Ursus
See Laurus,6,Laurus
See Pinus,5,Pinus
See Theor,5,Theor
See Pleuronectes,5,Pleuronectes
See London,5,London
See Sugar,5,Sugar
See Acoustics,5,Acoustics
