,count,references
See Anatomy,178,Anatomy
See Chemistry,133,Chemistry
See Law,98,Law
See Astronomy,68,Astronomy
See Medicine,63,Medicine
See Botany,56,Botany
See Oratory,49,Oratory
See Surgery,45,Surgery
See Pharmacy,38,Pharmacy
See Poetry,33,Poetry
See Architecture,31,Architecture
See Farriery,28,Farriery
See Geometry,27,Geometry
See Grammar,27,Grammar
See Metaphysics,27,Metaphysics
See Agriculture,25,Agriculture
See Heraldry,24,Heraldry
See Logic,23,Logic
See Optics,21,Optics
See Mechanics,21,Mechanics
See Algebra,20,Algebra
See Arithmetic,18,Arithmetic
See Anas,17,Anas
See Air,17,Air
See Zoology,16,Zoology
See Interval,15,Interval
See Geography,14,Geography
See Falco,14,Falco
See Rome,14,Rome
See Hydrostatics,13,Hydrostatics
See Music,12,Music
See Materia Medica,12,Materia Medica
See Painting,12,Painting
See Electricity,12,Electricity
See (the Index fubjoined to) Medicine,12,(the Index fubjoined to) Medicine
See the preceding article,11,the preceding article
See Motacilla,11,Motacilla
See Glass,11,Glass
See Cervus,10,Cervus
See Cyprinus,10,Cyprinus
"See Ana
tomy",10,"Ana
tomy"
See Britain,10,Britain
See Navigation,10,Navigation
See Acoustics,10,Acoustics
See Lacerta,9,Lacerta
See Midwifery,9,Midwifery
"See Che
mistry",9,"Che
mistry"
See Fortification,9,Fortification
See Sus,9,Sus
"See thefe
articles",9,"thefe
articles"
"See (the
Index fubjoined to) Medicine",9,"(the
Index fubjoined to) Medicine"
See England,9,England
See Tetrao,9,Tetrao
See Canis,9,Canis
See Apis,9,Apis
See Morals,9,Morals
See Salt,8,Salt
See Printing,8,Printing
See Felis,8,Felis
"See (the Index fub-
joined to) Medicine",8,"(the Index fub-
joined to) Medicine"
See Generation,7,Generation
See Fluxions,7,Fluxions
See the following article,7,the following article
See Squalus,7,Squalus
See Larus,7,Larus
See Mustela,7,Mustela
See Divination,7,Divination
See Mus,7,Mus
See Revenue,7,Revenue
See Bos,7,Bos
See Bread,6,Bread
See Dyeing,6,Dyeing
See Earth,6,Earth
See Fish,6,Fish
"See (the Index fubjoined
to) Medicine",6,"(the Index fubjoined
to) Medicine"
See Gadus,6,Gadus
See Metallurgy,6,Metallurgy
See Meerman,6,Meerman
See below,6,below
See Plant,6,Plant
See Gunnery,6,Gunnery
See Gardening,6,Gardening
"See Medi
cine",6,"Medi
cine"
See Corvus,6,Corvus
See Cancer,6,Cancer
See Plants,6,Plants
See Animalcule,6,Animalcule
See Cold,6,Cold
See Attica,6,Attica
See Binle,6,Binle
See Ovis,6,Ovis
See Pelicanus,6,Pelicanus
See Colymbus,5,Colymbus
See Fringilla,5,Fringilla
See Prerogative,5,Prerogative
See Polygonum,5,Polygonum
See Declamation,5,Declamation
See Dioptrics,5,Dioptrics
See Ardea,5,Ardea
See Anguis,5,Anguis
See Language,5,Language
See Parliament,5,Parliament
See Solanum,5,Solanum
See Brassica,5,Brassica
See Crown,5,Crown
See Arraignment,5,Arraignment
See Convolvulus,5,Convolvulus
See Veronica,5,Veronica
"See (the Index fubjoined to)
Medicine",5,"(the Index fubjoined to)
Medicine"
See Council,5,Council
See Barometer,5,Barometer
See further,5,further
See Trigonometry,5,Trigonometry
"See Astro
nomy",5,"Astro
nomy"
See Fee,5,Fee
"See Bo
tany",5,"Bo
tany"
See Turdus,5,Turdus
See Tanning,5,Tanning
See France,5,France
See Book-keeping,5,Book-keeping
See Phasianus,5,Phasianus
See Lyre,5,Lyre
See Jatropha,5,Jatropha
See ,5,
See Tenure,5,Tenure
See Conic Sections,5,Conic Sections
"See Archi
tecture",4,"Archi
tecture"
See Academy,4,Academy
See Porcelain,4,Porcelain
See Attainder,4,Attainder
See Atropa,4,Atropa
See Trichecus,4,Trichecus
See Devise,4,Devise
See Perspective,4,Perspective
"See (the Index fubjoined to) Me
dicine",4,"(the Index fubjoined to) Me
dicine"
See Prosecution,4,Prosecution
See Lepus,4,Lepus
See Hedysarum,4,Hedysarum
See Lemur,4,Lemur
See Heat,4,Heat
See Clupea,4,Clupea
See Ether,4,Ether
See Sail,4,Sail
See Citrus,4,Citrus
See Flax,4,Flax
"See Hydro
statics",4,"Hydro
statics"
See Mine,4,Mine
