,count,references
See Ornithology,43,Ornithology
See Mammalia,35,Mammalia
See Music,31,Music
See Metaphysics,27,Metaphysics
See Anatomy,26,Anatomy
See Botany,20,Botany
See Phil,19,Phil
See Astronomy,18,Astronomy
See Horticulture,17,Horticulture
See Chemistry,17,Chemistry
See Mineralogy,17,Mineralogy
See Ichthyology,15,Ichthyology
See Scotland,14,Scotland
See Agriculture,13,Agriculture
See the article Optics,12,the article Optics
See Medicine,12,Medicine
See Mechanics,12,Mechanics
See Optics,11,Optics
See Surgery,10,Surgery
See Entomology,10,Entomology
See Grammar,9,Grammar
See vol,9,vol
See Heraldry,8,Heraldry
See Arithmetic,8,Arithmetic
See Architecture,8,Architecture
See Navy,8,Navy
See Army,8,Army
See Mem,7,Mem
See England,7,England
See Fluxions,7,Fluxions
See Logic,7,Logic
See Niebuhr,7,Niebuhr
See Theology,7,Theology
See Chronology,7,Chronology
See Germany,6,Germany
See Binliography,6,Binliography
See Algebra,6,Algebra
See Civil Law,6,Civil Law
See Gunnery,6,Gunnery
See Painting,6,Painting
See Money,6,Money
See the article Music,6,the article Music
See London,6,London
See Edinburgh Review,6,Edinburgh Review
See No,5,No
See Reptilia,5,Reptilia
See Navigation,5,Navigation
See Ship-Building,5,Ship-Building
See Geography,5,Geography
See Magnetism,5,Magnetism
See Hydrodynamics,5,Hydrodynamics
See Australasia,5,Australasia
See Printing,4,Printing
See the article Egypt,4,the article Egypt
See Poetry,4,Poetry
See Weights and Measures,4,Weights and Measures
See Attica,4,Attica
See Zoophytes,4,Zoophytes
See Abyssinia,4,Abyssinia
See Dietetics,4,Dietetics
See Regne Animal,4,Regne Animal
See Taxation,4,Taxation
See Linn,4,Linn
See article Britain,4,article Britain
See Brewing,4,Brewing
See article Music,4,article Music
See Rome,4,Rome
See Physiology,4,Physiology
See Fortification,4,Fortification
See Dyeing,4,Dyeing
See Meteorology,4,Meteorology
"See Astro
nomy",4,"Astro
nomy"
See Africa,4,Africa
See Repertory of Arts,4,Repertory of Arts
See Polynesia,4,Polynesia
See Edinburgh Transactions,3,Edinburgh Transactions
See Furnace,3,Furnace
See the article Chromatics,3,the article Chromatics
See Glass,3,Glass
See Britain,3,Britain
See Parliamentary Return,3,Parliamentary Return
See Bee,3,Bee
See Azores,3,Azores
See Company,3,Company
See Ann,3,Ann
See the article Meteorology,3,the article Meteorology
See Mexico,3,Mexico
See Interval,3,Interval
See Physical Geography,3,Physical Geography
See likewise p,3,likewise p
See Arabia,3,Arabia
See Steam-Engine,3,Steam-Engine
See Hindustan,3,Hindustan
See Moral Philosophy,3,Moral Philosophy
See Joinery,3,Joinery
See War,3,War
See Journey from Madras,3,Journey from Madras
See J,3,J
See the article Cold,3,the article Cold
See the article Army,3,the article Army
See Acoustics,3,Acoustics
See Russia,3,Russia
See Political Economy,3,Political Economy
See Resistance of Fluids,3,Resistance of Fluids
See Woollen Manufacture,3,Woollen Manufacture
See Edin,3,Edin
See figs,3,figs
See Fabricius,3,Fabricius
See Forth,3,Forth
See Delambre,3,Delambre
See Rcgne Animal,3,Rcgne Animal
See Geology,3,Geology
See the article France,3,the article France
See Figure to Prop,3,Figure to Prop
See Engraving,3,Engraving
See Diet,3,Diet
See France,3,France
See Universities,3,Universities
See Philosophical Transactions,3,Philosophical Transactions
See Electricity,3,Electricity
"See He
raldry",2,"He
raldry"
See Ireland,2,Ireland
See Perspective,2,Perspective
See Farriery,2,Farriery
See Life of Sir Thomas Munro,2,Life of Sir Thomas Munro
See Parliament,2,Parliament
See Netherlands,2,Netherlands
See the article Grammar,2,the article Grammar
See Calendar),2,Calendar)
See Building,2,Building
See Girgenti,2,Girgenti
See China,2,China
See the article Botany,2,the article Botany
See Congo,2,Congo
See Jomini,2,Jomini
See Dialing,2,Dialing
See Diamond,2,Diamond
See Baking,2,Baking
See also Phil,2,also Phil
See Report of Select Committee on East India Affairs,2,Report of Select Committee on East India Affairs
See the articles England,2,the articles England
See Constantinople,2,Constantinople
See the article Mexico,2,the article Mexico
See Rtgne Animal,2,Rtgne Animal
See Mary,2,Mary
See the article Magnetism,2,the article Magnetism
See Descent,2,Descent
"See Ento
mology",2,"Ento
mology"
See Spain,2,Spain
See Inverness-shire,2,Inverness-shire
See Binle,2,Binle
See Sculpture,2,Sculpture
See Edinburgh Journal of Science,2,Edinburgh Journal of Science
See Entomologia Edinensis,2,Entomologia Edinensis
See Philosophical Magazine,2,Philosophical Magazine
See Nov,2,Nov
See Automalite,2,Automalite
See Realgar,2,Realgar
See Persia,2,Persia
See Punctuation,2,Punctuation
See Optics),2,Optics)
"See Me
chanics",2,"Me
chanics"
See Tables of the Revenue,2,Tables of the Revenue
See Funding System,2,Funding System
See Planting,2,Planting
See also,2,also
See United States,2,United States
See Athens,2,Athens
See Turkey,2,Turkey
See Zetland,2,Zetland
See Spar,2,Spar
See Ionian Islands,2,Ionian Islands
See Physics,2,Physics
See Meteorology and Optics,2,Meteorology and Optics
See Stenography,2,Stenography
"See En
tomology",2,"En
tomology"
See Dairy,2,Dairy
See Art,2,Art
See Pyrotechny,2,Pyrotechny
See Metallurgy,2,Metallurgy
See Feudal System,2,Feudal System
See Clock and Watch Work,2,Clock and Watch Work
See Geology and Mineralogy,2,Geology and Mineralogy
See Feudal Law,2,Feudal Law
See Barretry,2,Barretry
See Karnes’s Sketches,2,Karnes’s Sketches
See Paris,2,Paris
See the article Atmosphere,2,the article Atmosphere
See Wide,2,Wide
See Panama,2,Panama
See Iona,2,Iona
See Mr,2,Mr
See also Regne Animal,2,also Regne Animal
See Mining,2,Mining
See Conic Sections,2,Conic Sections
See Drama,2,Drama
See Chivalry,2,Chivalry
See the article Government,2,the article Government
See Jamaica,2,Jamaica
See Egypt,2,Egypt
See Leg,2,Leg
See Epist,2,Epist
See Claro Obscuro,2,Claro Obscuro
See Morayshire,2,Morayshire
