,Unnamed: 0,Unnamed: 0.1,count,references
0,0,See Ornithology,43,Ornithology
1,1,See Mammalia,35,Mammalia
2,2,See Music,31,Music
3,3,See Metaphysics,27,Metaphysics
4,4,See Anatomy,26,Anatomy
16,17,See Optics,23,Optics
5,5,See Botany,20,Botany
6,6,See Phil,19,Phil
7,7,See Astronomy,18,Astronomy
8,8,See Horticulture,17,Horticulture
9,9,See Chemistry,17,Chemistry
10,10,See Mineralogy,17,Mineralogy
11,11,See Ichthyology,15,Ichthyology
12,12,See Scotland,14,Scotland
13,13,See Agriculture,13,Agriculture
14,15,See Medicine,12,Medicine
15,16,See Mechanics,12,Mechanics
17,18,See Surgery,10,Surgery
18,19,See Entomology,10,Entomology
19,20,See Grammar,9,Grammar
20,21,See vol,9,vol
24,25,See Navy,8,Navy
25,26,See Army,8,Army
23,24,See Architecture,8,Architecture
21,22,See Heraldry,8,Heraldry
22,23,See Arithmetic,8,Arithmetic
26,27,See Mem,7,Mem
27,28,See England,7,England
28,29,See Fluxions,7,Fluxions
29,30,See Logic,7,Logic
30,31,See Niebuhr,7,Niebuhr
31,32,See Theology,7,Theology
32,33,See Chronology,7,Chronology
38,39,See Painting,6,Painting
42,43,See Edinburgh Review,6,Edinburgh Review
41,42,See London,6,London
40,41,See the article Music,6,the article Music
39,40,See Money,6,Money
35,36,See Algebra,6,Algebra
37,38,See Gunnery,6,Gunnery
36,37,See Civil Law,6,Civil Law
33,34,See Germany,6,Germany
34,35,See Binliography,6,Binliography
50,51,See Australasia,5,Australasia
47,48,See Geography,5,Geography
49,50,See Hydrodynamics,5,Hydrodynamics
48,49,See Magnetism,5,Magnetism
46,47,See Ship-Building,5,Ship-Building
45,46,See Navigation,5,Navigation
44,45,See Reptilia,5,Reptilia
43,44,See No,5,No
62,63,See article Britain,4,article Britain
73,74,See Polynesia,4,Polynesia
72,73,See Repertory of Arts,4,Repertory of Arts
70,71,"See Astro
nomy",4,"Astro
nomy"
69,70,See Meteorology,4,Meteorology
68,69,See Dyeing,4,Dyeing
67,68,See Fortification,4,Fortification
66,67,See Physiology,4,Physiology
65,66,See Rome,4,Rome
64,65,See article Music,4,article Music
63,64,See Brewing,4,Brewing
71,72,See Africa,4,Africa
61,62,See Linn,4,Linn
55,56,See Attica,4,Attica
60,61,See Taxation,4,Taxation
51,52,See Printing,4,Printing
53,54,See Poetry,4,Poetry
54,55,See Weights and Measures,4,Weights and Measures
52,53,See the article Egypt,4,the article Egypt
56,57,See Zoophytes,4,Zoophytes
57,58,See Abyssinia,4,Abyssinia
58,59,See Dietetics,4,Dietetics
59,60,See Regne Animal,4,Regne Animal
99,100,See Acoustics,3,Acoustics
108,109,See Delambre,3,Delambre
100,101,See Russia,3,Russia
101,102,See Political Economy,3,Political Economy
102,103,See Resistance of Fluids,3,Resistance of Fluids
103,104,See Woollen Manufacture,3,Woollen Manufacture
104,105,See Edin,3,Edin
105,106,See figs,3,figs
106,107,See Fabricius,3,Fabricius
107,108,See Forth,3,Forth
114,115,See Diet,3,Diet
109,110,See Rcgne Animal,3,Rcgne Animal
110,111,See Geology,3,Geology
111,112,See the article France,3,the article France
112,113,See Figure to Prop,3,Figure to Prop
113,114,See Engraving,3,Engraving
115,116,See France,3,France
116,117,See Universities,3,Universities
117,118,See Philosophical Transactions,3,Philosophical Transactions
118,119,See Electricity,3,Electricity
97,98,See the article Cold,3,the article Cold
98,99,See the article Army,3,the article Army
94,95,See War,3,War
96,97,See J,3,J
84,85,See the article Meteorology,3,the article Meteorology
95,96,See Journey from Madras,3,Journey from Madras
74,75,See Edinburgh Transactions,3,Edinburgh Transactions
75,76,See Furnace,3,Furnace
76,77,See the article Chromatics,3,the article Chromatics
78,79,See Britain,3,Britain
79,80,See Parliamentary Return,3,Parliamentary Return
80,81,See Bee,3,Bee
81,82,See Azores,3,Azores
82,83,See Company,3,Company
83,84,See Ann,3,Ann
77,78,See Glass,3,Glass
85,86,See Mexico,3,Mexico
87,88,See Physical Geography,3,Physical Geography
88,89,See likewise p,3,likewise p
89,90,See Arabia,3,Arabia
90,91,See Steam-Engine,3,Steam-Engine
91,92,See Hindustan,3,Hindustan
92,93,See Moral Philosophy,3,Moral Philosophy
93,94,See Joinery,3,Joinery
86,87,See Interval,3,Interval
214,215,See the article Hieroglyphics,2,the article Hieroglyphics
209,210,See Animal Kingdom,2,Animal Kingdom
210,211,See Bissagos,2,Bissagos
211,212,See Caoutchouc,2,Caoutchouc
212,213,See Ayrshire,2,Ayrshire
213,214,See Rhetoric,2,Rhetoric
