,count,references
See Anatomy,228,Anatomy
See Law,95,Law
See Chemistry,86,Chemistry
See Medicine,68,Medicine
See Botany,59,Botany
See Oratory,49,Oratory
See Surgery,49,Surgery
See Astronomy,49,Astronomy
See Metaphysics,47,Metaphysics
See Farriery,35,Farriery
See Grammar,34,Grammar
See Agriculture,31,Agriculture
See Architecture,30,Architecture
See Geometry,30,Geometry
See Heraldry,29,Heraldry
See Pharmacy,26,Pharmacy
See Poetry,23,Poetry
See Mechanics,21,Mechanics
See Algebra,21,Algebra
See Optics,19,Optics
See Anas,18,Anas
See Rome,17,Rome
See Falco,17,Falco
See Logic,16,Logic
See Zoology,16,Zoology
See Arithmetic,16,Arithmetic
See Midwifery,15,Midwifery
See ,15,
See Felis,14,Felis
See Interval,14,Interval
See Hydrostatics,14,Hydrostatics
See Motacilla,13,Motacilla
See Geography,13,Geography
See Mus,12,Mus
See Chap,12,Chap
See Phil,11,Phil
See Capra,11,Capra
See Britain,11,Britain
See Painting,10,Painting
See Salt,10,Salt
See Cervus,10,Cervus
See Chronology,10,Chronology
See Cyprinus,10,Cyprinus
See Electricity,10,Electricity
See Metallurgy,9,Metallurgy
See Comparative Anatomy,9,Comparative Anatomy
See Polytheism,9,Polytheism
See Animalcule,9,Animalcule
See Music,9,Music
See Bos,9,Bos
See Squalus,9,Squalus
See the following article,9,the following article
See Navigation,9,Navigation
See Corvus,8,Corvus
See Pelicanus,8,Pelicanus
See Lacerta,8,Lacerta
See Philology,8,Philology
See Lemur,8,Lemur
See Moral Philosophy,8,Moral Philosophy
See Fortification,8,Fortification
See Glass,8,Glass
"See Ana
tomy",7,"Ana
tomy"
See Tetrao,7,Tetrao
See Printing,7,Printing
See Esox,7,Esox
See America,7,America
See Prunus,7,Prunus
See Fluxions,7,Fluxions
See Equus,7,Equus
See Materia Medica,7,Materia Medica
See Solanum,7,Solanum
"See Che
mistry",7,"Che
mistry"
See Sus,7,Sus
See Tenure,7,Tenure
See Bee,7,Bee
See Bread,7,Bread
See England,7,England
See Revenue,7,Revenue
